'07/04/2021 16:47:19.867222', '73834', '68251', '1892'
'07/04/2021 16:47:19.872306', '73868', '68262', '1845'
'07/04/2021 16:47:19.877046', '73899', '68279', '1840'
'07/04/2021 16:47:19.882146', '73935', '68290', '1884'
'07/04/2021 16:47:19.887247', '73975', '68301', '1899'
'07/04/2021 16:47:19.892223', '73998', '68311', '1835'
'07/04/2021 16:47:19.897440', '74021', '68324', '1822'
'07/04/2021 16:47:19.902150', '74042', '68332', '1867'
'07/04/2021 16:47:19.907252', '74059', '68338', '1897'
'07/04/2021 16:47:19.912367', '74077', '68338', '1849'
'07/04/2021 16:47:19.917076', '74084', '68350', '1897'
'07/04/2021 16:47:19.922201', '74094', '68345', '1879'
'07/04/2021 16:47:19.927293', '74103', '68344', '1901'
'07/04/2021 16:47:19.932034', '74098', '68347', '1829'
'07/04/2021 16:47:19.937150', '74095', '68345', '1824'
'07/04/2021 16:47:19.942258', '74102', '68342', '1878'
'07/04/2021 16:47:19.947390', '74091', '68339', '1890'
'07/04/2021 16:47:19.952121', '74083', '68335', '1842'
'07/04/2021 16:47:19.957242', '74073', '68331', '1833'
'07/04/2021 16:47:19.962417', '74068', '68323', '1872'
'07/04/2021 16:47:19.967382', '74061', '68322', '1885'
'07/04/2021 16:47:19.972442', '74051', '68319', '1837'
'07/04/2021 16:47:19.977091', '74053', '68318', '1831'
'07/04/2021 16:47:19.982132', '74057', '68317', '1897'
'07/04/2021 16:47:19.987195', '74060', '68317', '1893'
'07/04/2021 16:47:19.992249', '74064', '68317', '1840'
'07/04/2021 16:47:19.997073', '74065', '68323', '1822'
'07/04/2021 16:47:20.002150', '74071', '68323', '1872'
'07/04/2021 16:47:20.007222', '74083', '68332', '1895'
'07/04/2021 16:47:20.012270', '74093', '68336', '1840'
'07/04/2021 16:47:20.017924', '74107', '68339', '1817'
'07/04/2021 16:47:20.022227', '74114', '68344', '1866'
'07/04/2021 16:47:20.027437', '74127', '68350', '1904'
'07/04/2021 16:47:20.032112', '74136', '68349', '1855'
'07/04/2021 16:47:20.037367', '74141', '68359', '1837'
